inchi_key,level1,level2,level3,level4,level5,name,pert_id,smiles
NDTSRXAMMQDVSW-UHFFFAOYSA-N,G,G01,G01A,G01AE,G01AE10,benzthiazide,BRD-K21450440,NS(=O)(=O)C1CC2C(CC1CL)N=C(CSCC1CCCCC1)NS2(=O)=O
GGCSSNBKKAUURC-UHFFFAOYSA-N,N,N01,N01A,N01AH,N01AH03,sufentanil,BRD-K21547160,CCC(=O)N(C1CCCCC1)C1(COC)CCN(CCC2CCCS2)CC1
FUBVWMNBEHXPSU-UHFFFAOYSA-N,C,C01,C01B,C01BG,C01BG01,moricizine,moricizine,CCOC(=O)NC1CCC2SC3CCCCC3N(C(=O)CCN3CCOCC3)C2C1
IWXNYAIICFKCTM-UHFFFAOYSA-N,,,,,,cariporide,BRD-K21670884,CC(C)C1CCC(CC1S(C)(=O)=O)C(=O)N=C(N)N
KKZJGLLVHKMTCM-UHFFFAOYSA-N,L,L01,L01D,L01DB,L01DB07,mitoxantrone,BRD-K21680192,OCCNCCNC1CCC(NCCNCCO)C2C(=O)C3C(O)CCC(O)C3C(=O)C12
YYLKKYCXAOBSRM-JXMROGBWSA-N,,,,,,,,O=C(N1CCNCC1)C1CCC(CC1)\C=C\C1N[NH]C2CCCCC12
PVLJETXTTWAYEW-UHFFFAOYSA-N,R,R06,R06A,R06AX,R06AX25,mizolastine,BRD-K21884483,CN(C1CCN(CC1)C1NC2CCCCC2N1CC1CCC(F)CC1)C1NCCC(=O)[NH]1
CQERVFFAOOUFEQ-UHFFFAOYSA-N,,,,,,,,BRC1CNCC(C1)C(=O)N1CCC(CC1)N1CCCC1
MCUJKPPARUPFJM-UWCCDQBKSA-N,,,,,,,,N[C@@H]1CCCN(C1)C1C(CCCC1-C1CCCCC1)\C=C1/SC(=O)NC1=O
OJPLJFIFUQPSJR-INIZCTEOSA-N,,,,,,rg-4733,rg-4733,CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@H]1C2CCCCC2-C2CCCCC2NC1=O
HUPFGZXOMWLGNK-UHFFFAOYSA-N,N,N02,N02B,N02BA,N02BA11,diflunisal,BRD-K22031190,OC(=O)C1CC(CCC1O)-C1CCC(F)CC1F
SAAYRHKJHDIDPH-UHFFFAOYSA-N,,,,,,5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide,5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide,CC1CCC(CC1NC1CNCC(C1)C(N)=O)C(=O)NC1CCCC(C1)C(F)(F)F
ODLDHXPJRGNTPC-UHFFFAOYSA-N,,,,,,,,CC(C)C1CCC(CC1)C(=O)NCCOC1CCC(CC1)C(O)=O
RYMZZMVNJRMUDD-HGQWONQESA-N,A,A10,A10B,A10BH,A10BH51,simvastatin,BRD-K22134346,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
NUKYPUAOHBNCPY-UHFFFAOYSA-N,N,N07,N07X,N07XX,N07XX07,dalfampridine,BRD-K22482860,NC1CCNCC1
IRSCQMHQWWYFCW-UHFFFAOYSA-N,J,J05,J05A,J05AB,J05AB06,ganciclovir,BRD-K22662435,NC1NC2N(COC(CO)CO)CNC2C(=O)[NH]1
KFHYZKCRXNRKRC-MRXNPFEDSA-N,,,,,,,,C[C@@H]1CCCN1CCC1CC2CC(CCC2O1)-C1CCC(CC1)C#N
FWIVDMJALNEADT-SFTDATJTSA-N,,,,,,odanacatib,BRD-K22822991,CC(C)(F)C[C@H](N[C@@H](C1CCC(CC1)-C1CCC(CC1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N
WPTTVJLTNAWYAO-RRPQCQSHSA-N,,,,,,,,COC(=O)[C@]12CCC(C)(C)C[C@@H]1[C@@H]1C(=O)C=C3[C@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
RTIXKCRFFJGDFG-UHFFFAOYSA-N,,,,,,,,OC1CC(O)C2C(C1)OC(CC2=O)-C1CCCCC1
OWQUZNMMYNAXSL-UHFFFAOYSA-N,R,R06,R06A,R06AA,R06AA57,diphenylpyraline,BRD-K22936972,CN1CCC(CC1)OC(C1CCCCC1)C1CCCCC1
WIIZWVCIJKGZOK-DTWKUNHWSA-N,,,,,,,,OC[C@H](NC(=O)C(CL)CL)[C@H](O)C1CCC(CC1)[N+]([O-])=O
ZZJYIKPMDIWRSN-TZBSWOFLSA-N,,,,,,,,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3C4CCCCC4CCC4CCCC([C@H]2C1)C34
ZAJXXUDARPGGOC-UHFFFAOYSA-N,,,,,,,,CN1CCN(CC1)C(C)(C)C#CC1CC2NCNC(NC3CCC(F)C(CL)C3)C2CC1NC(=O)C=C
COVZYZSDYWQREU-UHFFFAOYSA-N,L,L01,L01A,L01AB,L01AB01,busulfan,BRD-K23204545,CS(=O)(=O)OCCCCOS(C)(=O)=O
YOVVNQKCSKSHKT-HNNXBMFYSA-N,,,,,,apitolisib,apitolisib,C[C@H](O)C(=O)N1CCN(CC2SC3C(NC(NC3C2C)-C2CNC(N)NC2)N2CCOCC2)CC1
RZKDEGZIFSJVNA-IBGZPJMESA-N,,,,,,camicinal,BRD-K23248433,C[C@H]1CN(CC2CCC(CC(=O)N3CCC(CC3)NC3CCCC(F)C3)CC2)CCN1
MTJHLONVHHPNSI-IBGZPJMESA-N,,,,,,,,CCC[C@H](NC1NC(NCC1C)-C1CCC(NC(=O)NCC)C(OC)C1)C1CCCNC1
KUFRQPKVAWMTJO-TYVPZVKISA-N,,,,,,,,CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C/C=C\[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
PSPGQHXMUKWNDI-UHFFFAOYSA-N,,,,,,,,CC1OC2NC3CCCCC3C(NC(=O)CN3CCCC3=O)C2C1C
XZAFZXJXZHRNAQ-STQMWFEESA-N,L,L01,L01X,L01XX,L01XX53,vosaroxin,vosaroxin,CN[C@H]1CN(C[C@@H]1OC)C1CCC2C(N1)N(CC(C(O)=O)C2=O)-C1NCCS1
TXEIIPDJKFWEEC-UHFFFAOYSA-N,N,N07,N07X,N07XX,N07XX08,tafamidis,tafamidis,OC(=O)C1CCC2NC(OC2C1)-C1CC(CL)CC(CL)C1
LLJRXVHJOJRCSM-UHFFFAOYSA-N,,,,,,,,C1[NH]C2CCCCC2C1C3CCNCC3
MKPLKVHSHYCHOC-AHTXBMBWSA-N,S,S01,S01E,S01EE,S01EE04,travoprost,BRD-K23976833,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1CCCC(C1)C(F)(F)F
MLDQJTXFUGDVEO-UHFFFAOYSA-N,L,L01,L01X,L01XE,L01XE05,sorafenib,BRD-K23984367,CNC(=O)C1CC(OC2CCC(NC(=O)NC3CCC(CL)C(C3)C(F)(F)F)CC2)CCN1
CKUFOBCNTCLXJP-UHFFFAOYSA-N,,,,,,,,CC1=C(C=C(C=C1)NC2=NC=NC(=C2)C3=CC(=CC=C3)N4C(=O)C5=CC=CC=C5C4=O)NS(=O)(=O)C
ONNOFKFOZAJDHT-UHFFFAOYSA-N,N,N06,N06A,N06AA,N06AA19,amineptine,BRD-K24219278,OC(=O)CCCCCCNC1C2CCCCC2CCC2CCCCC12
DPCXEUSDRQOOGZ-UHFFFAOYSA-N,,,,,,,,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C3C=CC4=C(CCC4=C3)N=O)C(=C5C=CNC=C5)N2
UASQUKUDXJFTCO-UHFFFAOYSA-N,,,,,,,,CC1CCC(CC1NC(=O)C1CCNO1)C(=O)NC1CC(NC(=O)C=C)CC(C1)C(F)(F)F
LOLPPWBBNUVNQZ-UHFFFAOYSA-N,,,,,,,,O=C(NC1CC1)NC1C[NH]NC1-C1NC2CC(CN3CCOCC3)CCC2[NH]1
MFDFERRIHVXMIY-UHFFFAOYSA-N,N,N01,N01B,N01BA,N01BA52,procaine,BRD-K24616672,CCN(CC)CCOC(=O)C1CCC(N)CC1
FBOUYBDGKBSUES-VXKWHMMOSA-N,G,G04,G04B,G04BD,G04BD08,solifenacin,solifenacin,O=C(O[C@H]1CN2CCC1CC2)N1CCC2CCCCC2[C@@H]1C1CCCCC1
ANDGGVOPIJEHOF-UHFFFAOYSA-N,,,,,,cx516,cx516,O=C(N1CCCCC1)C1CCC2NCCNC2C1
GHASVSINZRGABV-UHFFFAOYSA-N,L,L01,L01B,L01BC,L01BC52,fluorouracil,BRD-K24844714,FC1C[NH]C(=O)[NH]C1=O
UPTQGXMIZXGVSC-UHFFFAOYSA-N,,,,,,,,COCCNCCCN1C(C(=O)CF)C(-C2CCC(C)CC2)C2C(N)NCNC12
OBMNJSNZOWALQB-NCQNOWPTSA-N,J,J05,J05A,J05AP,J05AP54,grazoprevir,BRD-K24943235,COC1CCC2NC3CCCCC[C@@H]4C[C@H]4OC(=O)N[C@H](C(=O)N4C[C@@H](C[C@H]4C(=O)N[C@@]4(C[C@H]4C=C)C(=O)NS(=O)(=O)C4CC4)OC3NC2C1)C(C)(C)C
DRSJLVGDSNWQBI-SFHVURJKSA-N,,,,,,,,COC1CCCC(OC)C1-C1CCC(C[C@H](NC(=O)C2C(CL)CCCC2CL)C(O)=O)CC1
HAMNKKUPIHEESI-UHFFFAOYSA-N,,,,,,pimagedine,pimagedine,NNC(N)=N
BXBNADAPIHHXJQ-UHFFFAOYSA-N,,,,,,,,O=C(N1CCCCC1)C1CCC2OCOC2C1
IVZKZONQVYTCKC-UHFFFAOYSA-N,,,,,,pritelivir,BRD-K25204779,CN(C(=O)CC1CCC(CC1)-C1CCCCN1)C1NC(C)C(S1)S(N)(=O)=O
XRKYMMUGXMWDAO-UHFFFAOYSA-N,,,,,,,,O=C1CC(OC(C1)-C1CCCC2SC3CCCCC3SC12)N1CCOCC1
FGTCROZDHDSNIO-UHFFFAOYSA-N,,,,,,osi-930,osi-930,FC(F)(F)OC1CCC(NC(=O)C2SCCC2NCC2CCNC3CCCCC23)CC1
XFILPEOLDIKJHX-GBESFXJTSA-N,,,,,,,,CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H](CC(C)C)[C@H](CSC1CCCS1)C(=O)NO
OFPXSFXSNFPTHF-UHFFFAOYSA-N,M,M01,M01A,M01AE,M01AE12,oxaprozin,BRD-K25394294,OC(=O)CCC1NC(C(O1)-C1CCCCC1)-C1CCCCC1
AFJRDFWMXUECEW-LBPRGKRZSA-N,,,,,,afuresertib,afuresertib,CN1NCC(CL)C1-C1CC(SC1CL)C(=O)N[C@H](CN)CC1CCCC(F)C1
QSLMDECMDJKHMQ-UHFFFAOYSA-N,N,N06,N06A,N06AA,N06AA21,maprotiline,BRD-K25433859,CNCCCC12CCC(C3CCCCC13)C1CCCCC21
SQSZANZGUXWJEA-UHFFFAOYSA-N,,,,,,gandotinib,gandotinib,CC1CC(NC2CC(CN3CCOCC3)C3NC(C)C(CC4CCC(CL)CC4F)N3N2)[NH]N1
PIJVFDBKTWXHHD-HIFRSBDPSA-N,S,S01,S01E,S01EB,S01EB05,physostigmine,BRD-K25650355,CNC(=O)OC1CCC2N(C)[C@H]3N(C)CC[C@@]3(C)C2C1
UKNSBNVKSFTZOJ-NGVXBBESSA-N,,,,,,,,CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC(=O)CC(C)C)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O
XVGOZDAJGBALKS-UHFFFAOYSA-N,,,,,,blonanserin,BRD-K25943794,CCN1CCN(CC1)C1CC(-C2CCC(F)CC2)C2CCCCCCC2N1
KAZSKMJFUPEHHW-UHFFFAOYSA-N,,,,,,,,COC1CC(O)C(CC1C=CC(=O)C1CCC(O)CC1)C(C)(C)C=C
DGPGXHRHNRYVDH-UHFFFAOYSA-N,,,,,,,,CC1CC(OCCN2CCOCC2)NN1-C1CCC2CCCCC2C1
SSISHJJTAXXQAX-ZETCQYMHSA-O,,,,,,,,C[N+](C)(C)[C@@H](CC1C[NH]C(=S)[NH]1)C(O)=O
LSPANGZZENHZNJ-UHFFFAOYSA-N,,,,,,,,COC1CC2NCNC(NC3CCCC(BR)C3)C2CC1OC
LEQAKWQJCITZNK-AXHKHJLKSA-N,M,M03,M03B,M03BX,M03BX05,thiocolchicoside,BRD-K26619122,COC1C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC2CC[C@H](NC(C)=O)C3CC(=O)C(SC)CCC3-C2C1OC
DOUYETYNHWVLEO-UHFFFAOYSA-N,D,D06,D06B,D06BB,D06BB10,imiquimod,BRD-K26657438,CC(C)CN1CNC2C(N)NC3CCCCC3C12
RCLQNICOARASSR-SECBINFHSA-N,,,,,,tak-733,tak-733,CN1C2NCN(C[C@@H](O)CO)C(=O)C2C(NC2CCC(I)CC2F)C(F)C1=O
XBEQSQDCBSKCHJ-UHFFFAOYSA-N,,,,,,tegobuvir,BRD-K26701552,FC1CCCCC1-C1NC2CCN(CC3CCC(NN3)-C3CCC(CC3C(F)(F)F)C(F)(F)F)CC2N1
SJDDOCKBXFJEJB-QQSSDERHSA-N,,,,,,,,CCO[C@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)C1CCC(N)C(CL)C1)C(C)(C)C
DUIHHZKTCSNTGM-UHFFFAOYSA-N,,,,,,,,CS(=O)(=O)C1CCC(CC1)-C1CNC(N)C(N1)C(=O)NC1CCCCC1
YVHQGJBMHCXEPW-UHFFFAOYSA-N,,,,,,,,CC1=C(C(=CC=C1)C)NC(=O)N(C2=C(C=C(C=C2)OC)OC)C3=NC=NC(=C3)NC4=C(C=C(C=C4)N5CCN(CC5)C)OC
OSXFATOLZGZLSK-UHFFFAOYSA-N,,,,,,,,COC1CC2NC(NC(NC3CCN(CC4CCCCC4)CC3)C2CC1OC)N1CCCN(C)CC1
TWQYWUXBZHPIIV-UHFFFAOYSA-N,,,,,,gw842166,gw842166,FC(F)(F)C1NC(NC2CCC(CL)CC2CL)NCC1C(=O)NCC1CCOCC1
MVZGYPSXNDCANY-UHFFFAOYSA-N,,,,,,,,FC1CCCC(COC2CCC(NC3NCNC4CCC(NC(=O)C=C)CC34)CC2CL)C1
OWNQZZTXPWICRQ-UHFFFAOYSA-N,,,,,,,,COC1CCC(CC1)C(=O)OC1CCC(CCN2C(NC(=O)C3CCC(CC3)C(F)(F)F)NC3CC(CCC23)C(O)=O)CC1
PDYXPCKITKHFOZ-UHFFFAOYSA-N,,,,,,,,NC1NCCC(OC2CCC(NC(=O)C3C[NH]CC(-C4CCC(F)CC4)C3=O)CC2F)C1CL
ZKLPARSLTMPFCP-OAQYLSRUSA-N,R,R06,R06A,R06AE,R06AE09,levocetirizine,BRD-K27184429,OC(=O)COCCN1CCN(CC1)[C@H](C1CCCCC1)C1CCC(CL)CC1
LLCRBOWRJOUJAE-UHFFFAOYSA-N,,,,,,balicatib,BRD-K27204852,CCCN1CCN(CC1)C1CCC(CC1)C(=O)NC1(CCCCC1)C(=O)NCC#N
CZQHHVNHHHRRDU-UHFFFAOYSA-N,,,,,,ly-294002,ly-294002,O=C1CC(OC2C(CCCC12)-C1CCCCC1)N1CCOCC1
XGOYIMQSIKSOBS-UHFFFAOYSA-N,,,,,,vadimezan,vadimezan,CC1CCC2C(OC3C(CC(O)=O)CCCC3C2=O)C1C
JUJPKFNFCWJBCX-UHFFFAOYSA-N,,,,,,,,NC1NC(OCC2CC(BR)CS2)C2[NH]CNC2N1
JGPJQFOROWSRRS-UHFFFAOYSA-N,,,,,,,,CC1NNC2CN=C(C3CC(CCC(=O)N4CCOCC4)SC3-N12)C1CCCCC1CL
JJCFRYNCJDLXIK-UHFFFAOYSA-N,R,R06,R06A,R06AX,R06AX02,cyproheptadine,BRD-K28143534,CN1CCC(CC1)=C1C2CCCCC2C=CC2CCCCC12
SSOLNOMRVKKSON-UHFFFAOYSA-N,P,P01,P01B,P01BB,P01BB01,proguanil,BRD-K28183345,CC(C)NC(=N)NC(=N)NC1CCC(CL)CC1
PGTVWKLGGCQMBR-FLBATMFCSA-N,,,,,,ganaxolone,BRD-K28217197,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C
MKXKFYHWDHIYRV-UHFFFAOYSA-N,L,L02,L02B,L02BB,L02BB01,flutamide,BRD-K28307902,CC(C)C(=O)NC1CCC(C(C1)C(F)(F)F)[N+]([O-])=O
VRQMAABPASPXMW-HDICACEKSA-N,,,,,,azd-4547,azd-4547,COC1CC(CCC2CC(NC(=O)C3CCC(CC3)N3C[C@H](C)N[C@H](C)C3)N[NH]2)CC(OC)C1
WCWUXEGQKLTGDX-LLVKDONJSA-N,,,,,,brivanib,BRD-K28428262,C[C@@H](O)COC1CN2NCNC(OC3CCC4[NH]C(C)CC4C3F)C2C1C
LVLLALCJVJNGQQ-SEODYNFXSA-N,,,,,,seocalcitol,BRD-K28456624,CCC(O)(CC)\C=C\C=C\[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C
JKOCAAWWDVHWKB-UHFFFAOYSA-N,,,,,,,,CC(OC1CCC(O)CC1)(P(O)(O)=O)P(O)(O)=O
CNBGNNVCVSKAQZ-UHFFFAOYSA-N,A,A01,A01A,A01AD,A01AD02,benzydamine,BRD-K28542495,CN(C)CCCOC1NN(CC2CCCCC2)C2CCCCC12
IPEHBUMCGVEMRF-UHFFFAOYSA-N,J,J04,J04A,J04AK,J04AK01,pyrazinamide,BRD-K28667793,NC(=O)C1CNCCN1
GMRQFYUYWCNGIN-WEARQXOYSA-N,,,,,,,,C[C@H](CCCC(C)(C)O)[C@@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C
YLXDSYKOBKBWJQ-LBPRGKRZSA-N,N,N05,N05C,N05CH,N05CH02,ramelteon,BRD-K28761891,CCC(=O)NCC[C@@H]1CCC2CCC3OCCC3C12
FECGNJPYVFEKOD-VMPITWQZSA-N,,,,,,resminostat,BRD-K28822270,CN(C)CC1CCC(CC1)S(=O)(=O)N1CCC(C1)\C=C\C(=O)NO
DFPAKSUCGFBDDF-UHFFFAOYSA-N,A,A11,A11H,A11HA,A11HA01,nicotinamide,BRD-K28912512,NC(=O)C1CCCNC1
ZCVMWBYGMWKGHF-UHFFFAOYSA-N,S,S01,S01G,S01GX,S01GX08,ketotifen,BRD-K28936863,CN1CCC(CC1)=C1C2CCSC2C(=O)CC2CCCCC12
KSERXGMCDHOLSS-LJQANCHMSA-N,,,,,,ulixertinib,ulixertinib,CC(C)NC1CC(-C2C[NH]C(C2)C(=O)N[C@H](CO)C2CCCC(CL)C2)C(CL)CN1
RVMBDLSFFNKKLG-SFHVURJKSA-N,,,,,,,,COCCNC(=O)COC1CCC(OCCNC[C@H](O)COC2CCCCC2)CC1
JWJOTENAMICLJG-UUJLXMGASA-N,,,,,,,,C[C@]12CC[C@@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@H]2C(=O)NC1CC(CCC1C(F)(F)F)C(F)(F)F
ZWAVGFSZMACJHA-PMNBYGLBSA-N,,,,,,,,OC(=O)CCC\C=C/C[C@@H]1CO[C@@H](O[C@@H]1C1CCCCC1O)C(F)(F)F
HGVDHZBSSITLCT-KMFMINBZSA-N,,,,,,,,CN(C)C(=O)[C@@H]1CC[C@H](NC(=O)C(=O)NC2CCC(CL)CN2)[C@H](C1)NC(=O)C1NC2CCN(C)CC2S1
AYOUDDAETNMCBW-GSHUGGBRSA-N,,,,,,bms-906024,BRD-K29343434,CN1C2CCCCC2C(=N[C@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)C1=O)C1CCCCC1
DYEFUKCXAQOFHX-UHFFFAOYSA-N,,,,,,ebselen,BRD-K29359156,O=C1N([SE]C2CCCCC12)-C1CCCCC1
JFVNFXCESCXMBC-UHFFFAOYSA-N,,,,,,"n-(5-{4-chloro-3-[(2-hydroxyethyl)sulfamoyl]phenyl}-4-methyl-1,3-thiazol-2-yl)acetamide","n-(5-{4-chloro-3-[(2-hydroxyethyl)sulfamoyl]phenyl}-4-methyl-1,3-thiazol-2-yl)acetamide",CC(=O)NC1NC(C)C(S1)-C1CCC(CL)C(C1)S(=O)(=O)NCCO
BMMXYEBLEBULND-UHFFFAOYSA-N,,,,,,,,COC1CCC(CN1)-C1CCC2NCC3N(C)C(=O)N(-C4CCC(N5CCNCC5)C(C4)C(F)(F)F)C3C2C1
JCKYGMPEJWAADB-UHFFFAOYSA-N,L,L01,L01A,L01AA,L01AA02,chlorambucil,BRD-K29458283,OC(=O)CCCC1CCC(CC1)N(CCCL)CCCL
SGRYPYWGNKJSDL-UHFFFAOYSA-N,A,A01,A01A,A01AD,A01AD07,amlexanox,BRD-K29530284,CC(C)C1CCC2OC3NC(N)C(CC3C(=O)C2C1)C(O)=O
MVWVFYHBGMAFLY-UHFFFAOYSA-N,N,N05,N05A,N05AE,N05AE04,ziprasidone,BRD-K29582115,CLC1CC2NC(=O)CC2CC1CCN1CCN(CC1)C1NSC2CCCCC12
KJADKKWYZYXHBB-XBWDGYHZSA-N,N,N03,N03A,N03AX,N03AX11,topiramate,BRD-K29653726,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
UJEAABFSXKCSGI-UHFFFAOYSA-N,,,,,,mk-8245,mk-8245,OC(=O)CN1NNC(N1)-C1CC(NO1)N1CCC(CC1)OC1CC(F)CCC1BR
BTXNYTINYBABQR-UHFFFAOYSA-N,,,,,,hypericin,BRD-K29673530,CC1CC(O)C2C3C1C1C(C)CC(O)C4C1C1C3C3C(C(O)CC(O)C3C2=O)C2C(O)CC(O)C(C12)C4=O
JNGVJMBLXIUVRD-SFHVURJKSA-N,,,,,,enobosarm,enobosarm,C[C@](O)(COC1CCC(CC1)C#N)C(=O)NC1CCC(C#N)C(C1)C(F)(F)F
GKIRPKYJQBWNGO-QPLCGJKRSA-N,,,,,,,,CCN(CC)CCOC1CCC(CC1)C(=C(/CL)C1CCCCC1)\C1CCCCC1
HUNGUWOZPQBXGX-UHFFFAOYSA-N,,,,,,kx-01,kx-01,O=C(CC1CCC(CN1)-C1CCC(OCCN2CCOCC2)CC1)NCC1CCCCC1
UYMSIPINLJNNOU-UHFFFAOYSA-N,,,,,,,,COC1CCC2C(OC3CCC(NC(=O)C4C(C)N(CC(C)(C)O)N(-C5CCCCC5)C4=O)CC3F)CCNC2C1
UXOWGYHJODZGMF-QORCZRPOSA-N,C,C09,C09X,C09XA,C09XA54,aliskiren,BRD-K30020243,COCCCOC1CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)CCC1OC
BYUKOOOZTSTOOH-UHFFFAOYSA-N,,,,,,,,OS(=O)(=O)CCSSCCS(O)(=O)=O
HMJSBVCDPKODEX-NXZHAISVSA-N,,,,,,,,COC1CCC(CC1OC)\C=C\C(=O)CC(=O)\C=C\C1CCC(OC)C(OC)C1
BLJRIMJGRPQVNF-SNVBAGLBSA-N,,,,,,,,CC(C)(C)NC[C@@H](O)COC1NSNC1N1CCOCC1
AFSDNFLWKVMVRB-UHFFFAOYSA-N,,,,,,ellagic acid,ellagic acid,OC1CC2C3C(OC(=O)C4CC(O)C(O)C(OC2=O)C34)C1O
NGBFQHCMQULJNZ-UHFFFAOYSA-N,C,C03,C03C,C03CA,C03CA04,torasemide,BRD-K30480208,CC(C)NC(=O)NS(=O)(=O)C1CNCCC1NC1CCCC(C)C1
GEVVQZHMFVFGLN-HDJSIYSDSA-N,,,,,,pf-04620110,pf-04620110,NC1NCNC2OCCN(C3CCC(CC3)[C@H]3CC[C@H](CC(O)=O)CC3)C(=O)C12
AZFBLLCNOQPJGJ-DVAZEERGSA-N,,,,,,,,CO[C@H]1\C=C\O[C@@]2(C)OC3C(C2=O)C2C(C(O)C3C)C(O)C(NC(=O)\C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C1=NC3(CCN(CC(C)C)CC3)N=C21
YDXZSNHARVUYNM-UHFFFAOYSA-N,,,,,,,,CCOC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)CL)C(F)(F)F
XUIIKFGFIJCVMT-LBPRGKRZSA-N,H,H03,H03A,H03AA,H03AA01,levothyroxine,BRD-K30685142,N[C@@H](CC1CC(I)C(OC2CC(I)C(O)C(I)C2)C(I)C1)C(O)=O
SOHCKWZVTCTQBG-UHFFFAOYSA-N,,,,,,,,NCCC1C[NH]C2CCC(OCC(=O)N3CCN(CC3)C3CCC(CC3)C#N)CC12
LDCRTTXIJACKKU-ONEGZZNKSA-N,L,L04,L04A,L04AX,L04AX07,dimethyl fumarate,dimethyl fumarate,COC(=O)\C=C\C(=O)OC
HUJXGQILHAUCCV-MOROJQBDSA-N,,,,,,piclidenoson,piclidenoson,CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CNC2C(NCC3CCCC(I)C3)NCNC12
UJLAWZDWDVHWOW-YPMHNXCESA-N,L,L04,L04A,L04AA,L04AA29,tofacitinib,BRD-K36280065,C[C@@H]1CCN(C[C@@H]1N(C)C1NCNC2[NH]CCC12)C(=O)CC#N
CUDVHEFYRIWYQD-UHFFFAOYSA-N,,,,,,lucitanib,BRD-K31309378,CNC(=O)C1CCCC2CC(CCC12)OC1CCNC2CC(OCC3(N)CC3)C(OC)CC12
DNYBIOICMDTDAP-UHFFFAOYSA-N,,,,,,,,CC(C)C1CNN2C(NCC3CCCCC3)CC(NCCCCCCN)NC12
YPFLFUJKZDAXRA-UHFFFAOYSA-N,,,,,,,,CS(=O)(=O)OC1CCC2C(NC(N)=O)C(OC2C1)C(=O)C1CCC(CL)CC1CL
QMGUOJYZJKLOLH-UHFFFAOYSA-N,,,,,,rbt205 inhibitor,rbt205 inhibitor,CN(C)CCCN1CC(C2=C(C(=O)NC2=O)C3C[NH]C4CCCCC34)C5CCCCC15
ACRHBAYQBXXRTO-NRFANRHFSA-N,,,,,,,,COC1CC2C[C@@H](CN(C)CCCN3CCC4CC(OC)C(OC)CC4CC3=O)C2CC1OC
IXLLRNNFUYEADZ-UHFFFAOYSA-N,,,,,,,,O=C(NCCN1CCC(CC1)N1C2CCCCC2[NH]C1=O)C1CCC2CCCCC2C1
TUZYXOIXSAXUGO-QBHFJHEUSA-N,,,,,,,,CC[C@H](C)C(=O)O[C@@H]1C[C@H](O)C=C2C=C[C@H](C)[C@@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12
QNQZWEGMKJBHEM-UHFFFAOYSA-N,,,,,,alvelestat,alvelestat,CC1C(CC(C(=O)NCC2CCC(CN2)S(C)(=O)=O)C(=O)N1-C1CCCC(C1)C(F)(F)F)-C1CCNN1C
YXFNPRHZMOGREC-SHTZXODSSA-N,,,,,,azd-7687,azd-7687,CC1NC(C)C(NC1C(N)=O)-C1CCC(CC1)[C@H]1CC[C@H](CC(O)=O)CC1
