name,atc
ANTI-PARKINSON DRUGS,N04
fludrocortisone and antiinfectives,S02CA07
IRON ANTIANEMIC PREPARATIONS,B03A
histapyrrodine,R06AC02
bornaprine,N04AA11
epomediol,A05BA05
almitrine,R07AB07
OTHER OTOLOGICALS in ATC,S02D
cycloguanil embonate,P01BB02
"Butylpyrazolidines, antiinflammatory and antirheumatic drugs",M01AA
contact laxatives in combination with belladonna alkaloids,A06AB30
phenylmercuric borate,D08AK02
molgramostim,L03AA03
sodium propionate,S01AX10
alefacept,L04AA15
vancomycin,J01XA01
ofloxacin,S02AA16
moxisylyte,G04BE06
allobarbital,N05CA21
cefalexin,J01DB01
morphine,N02AA01
metenolone,A14AA04
ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02
dalbavancin,J01XA04
neomycin,D06AX04
Vitamin B-complex with minerals,A11EC
ketorolac,M01AB15
cefazolin,J01DB04
"Corticosteroids, weak, combinations with antibiotics",D07CA
Liver therapy drugs,A05BA
grepafloxacin,J01MA11
alitretinoin,L01XX22
ampicillin,J01CA01
etacrynic acid,C03CC01
"Artemisinin and derivatives, combinations",P01BF
Entity,T071
"methaqualone, combinations",N05CX02
gentamicin,D06AX07
oxytetracycline,J01AA06
bisoprolol and amlodipine,C07FB07
acetylleucine,N07CA04
piretanide,C03CA03
bexarotene,L01XX25
Physiologic Function,T039
"Androgen, progestogen and estrogen in combination",G03EB
OTHER VACCINES in ATC,J07X
"Mineralocorticoids for systemic use, plain",H02AA
abacavir,J05AF06
spaglumic acid,S01GX03
"Pregnen (4) derivatives, progestogens",G03DA
Fourth-generation cephalosporins,J01DE
riluzole,N07XX02
naphazoline,R01AA08
doxefazepam,N05CD12
"pyrrobutamine, combinations",R06AX58
"cholera, inactivated, whole cell",J07AE01
combinations of imidazole derivatives,G01AF20
"dexbrompheniramine, combinations",R06AB56
"meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen",J07AH04
SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03
lisdexamfetamine,N06BA12
cilnidipine,C08CA14
gadofosveset,V08CA11
"Colchicine derivatives, antineooplastic",L01CC
"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07F
ANTIINFECTIVE OPHTHALMOLOGICS,S01A
Combinations of drugs for treatment of tuberculosis,J04AM
pazopanib,L01XE11
alirocumab,C10AX14
levomethadone,N07BC05
Neoplastic Process,T191
Solutions for parenteral nutrition,B05BA
cinchocaine,S01HA06
magnesium phosphate,B05XA10
gepefrine,C01CA15
Local hemostatics,B02BC
ULTRASOUND CONTRAST MEDIA,V08D
dapsone,J04BA02
nifuroxazide,A07AX03
ciclopirox,G01AX12
Yellow fever vaccines,J07BL
parnaparin,B01AB07
ketoprofen,M01AE03
fluocinolone acetonide and antiinfectives,S01CA10
benzocaine,R02AD01
Drugs used in opioid dependence,N07BC
"emtricitabine, tenofovir disoproxil and efavirenz",J05AR06
"heparin, combinations",B01AB51
metronidazole,A01AB17
"pyrethrum, combinations",P03AC51
hydrochloric acid,B05XA13
octopamine,C01CA18
Plague vaccines,J07AK
"Agents for dermatitis, excluding corticosteroids",D11AH
midecamycin,J01FA03
dimetindene,D04AA13
iofendylate,V08AD04
ethylmorphine,R05DA01
BETA BLOCKING AGENTS,C07A
obiltoxaximab,J06BB22
sodium sulfate,A12CA02
Alkyl sulfonate alkylating agents,L01AB
Other immunosuppressants in ATC,L04AX
omoconazole,D01AC13
ALL OTHER NON-THERAPEUTIC PRODUCTS,V07A
lutropin alfa,G03GA07
bromfenac,S01BC11
"Corticosteroids, weak, other combinations",D07XA
Other viral vaccines in ATC,J07BX
rimantadine,J05AC02
colestipol,C10AC02
Amide local anesthetic combinations,N01BB20
"ethosuximide, combinations",N03AD51
sucralfate,A02BX02
amphotericin B,A01AB04
ANTI-PARATHYROID AGENTS,H05B
ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06
isoprenaline,R03CB01
Tetanus vaccines,J07AM
valganciclovir,J05AB14
pralatrexate,L01BA05
isepamicin,J01GB11
ambutonium and psycholeptics,A03CA07
mifamurtide,L03AX15
"rutoside, combinations",C05CA51
cetylpyridinium,B05CA01
antibiotics in combination with other drugs,S01AA20
"encephalitis, Japanese, inactivated, whole virus",J07BA02
stepronin,R05CB11
hydrocortisone,S01CB03
strontium ranelate,M05BX03
xipamide,C03BA10
technetium (99mTc) oxidronic acid,V09BA01
"Silver compounds, antiseptics and disinfectants",D08AL
perindopril and diuretics,C09BA04
glycobiarsol,P01AR03
propantheline,A03AB05
mebicar,N06BX21
pinaverium,A03AX04
minoxidil,C02DC01
ibudilast,R03DC04
imidazole salicylate,N02BA16
amoxicillin and beta-lactamase inhibitor,J01CR02
proxazole,A03AX07
"tetanus toxoid, combinations with tetanus immunoglobulin",J07AM52
galantamine,N06DA04
"Synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",A03AB
"Nitroimidazole derivatives, antiprotozoal agents against amoebiasis and other protozoal diseases",P01AB
piperacillin and beta-lactamase inhibitor,J01CR05
Vasopressin and analogues,H01BA
daptomycin,J01XX09
cefcapene,J01DD17
cobimetinib,L01XE38
dextromoramide,N02AC01
sulfamoxole and trimethoprim,J01EE04
atomoxetine,N06BA09
sermorelin,V04CD03
"Corticosteroids, potent, other combinations",D07XC
demeclocycline,D06AA01
cadexomer iodine,D03AX01
podophyllotoxin,D06BB04
tipepidine,R05DB24
LOCAL ANESTHETICS,N01B
tocainide,C01BB03
methylrosaniline,G01AX09
dextropropoxyphene,N02AC04
"ANTIINFECTIVE DRUGS, OTOLOGIC",S02A
glibenclamide,A10BB01
Amino acids and derivatives,A16AA
glucosamine,M01AX05
chlorpromazine,N05AA01
acepromazine,N05AA04
calcium pantothenate,A11HA31
"Sensitivity tests, discs and tablets",V07AR
menadione,B02BA02
"measles, combinations with rubella, live attenuated",J07BD53
clefamide,P01AC02
ceftriaxone,J01DD04
troxerutin,C05CA04
dexamethasone,S03BA01
sulfamerazine and trimethoprim,J01EE07
Other antiseptics and disinfectants in ATC,D08AX
Other insecticides and repellents in ATC,P03BX
apronal,N05CM12
iodixanol,V08AB09
"hemophilus influenzae B, purified antigen conjugated",J07AG01
caspofungin,J02AX04
Medical Device,T074
pipamperone,N05AD05
"typhoid, combinations with paratyphi types",J07AP10
melanoma vaccine,L03AX12
tramadol and other non-opioid analgesics,N02AJ15
medrogestone,G03DB03
"dextromethorphan, combinations",N07XX59
"Technetium (99mTc), inhalants",V09EA
zafirlukast,R03DC01
"hydroxyzine, combinations",N05BB51
"etidronic acid and calcium, sequential",M05BB01
Other urologicals in ATC,G04BX
befunolol,S01ED06
rosuvastatin,C10AA07
Potassium,A12BA
timolol,C07AA06
"Butyrophenone derivatives, antipsychotics",N05AD
olopatadine,R01AC08
flucloxacillin,J01CF05
pipobroman,L01AX02
cetrimide,D11AC01
peginterferon beta-1a,L03AB13
PROTEIN SUPPLEMENTS,V06B
Zinc bandages,D09AB
"Ethers of tropine or tropine derivatives, anticholinergic",N04AC
amfepramone,A08AA03
Cosmetics,V07AT
spirapril,C09AA11
melatonin,N05CH01
AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09
pipotiazine,N05AC04
"Magnesium supplements, alimentary tract and metabolism",A12CC
"bisacodyl, combinations",A06AB52
tiabendazole,P02CA02
nicotinic acid,C04AC01
combinations of levothyroxine and liothyronine,H03AA03
plitidepsin,L01XX57
Drugs used in alcohol dependence,N07BB
"Indicator, Reagent, or Diagnostic Aid",T130
amphotericin B,J02AA01
porfimer sodium,L01XD01
stannous fluoride,A01AA04
pancuronium,M03AC01
dichlorobenzyl alcohol,R02AA03
calcitonin (salmon synthetic),H05BA01
temocapril,C09AA14
clotiapine,N05AH06
DECONGESTANTS AND ANTIALLERGICS,S01G
tryptophan,N06AX02
norelgestromin and ethinylestradiol,G03AA13
indobufen,B01AC10
gadopentetic acid,V08CA01
nicardipine,C08CA04
Anticholinesterase parasympathomimetics,N07AA
Testosterone-5-alpha reductase inhibitors for benign prostatic hypertrophy,G04CB
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
thiram,P03AA05
Yttrium-90 antiinflammatory radiopharmaceuticals,V10AA
INTESTINAL ANTIINFECTIVES,A07A
Prostaglandin drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BB
nisoldipine,C08CA07
ioglicic acid,V08AA06
gadoteridol,V08CA04
Renin-inhibitors,C09XA
iodine/octylphenoxypolyglycolether,D08AG01
"adapalene, combinations",D10AD53
methallenestril,G03CC03
metandienone,D11AE01
oxedrine,C01CA08
vestronidase alfa,A16AB18
fenofibrate,C10AB05
metoprolol and other diuretics,C07CB02
trospium,G04BD09
treosulfan,L01AB02
astemizole,R06AX11
bromochlorosalicylanilide,D01AE01
semustine,L01AD03
thalidomide,L04AX02
gemcitabine,L01BC05
guanoclor,C02CC05
pimecrolimus,D11AH02
Adrenergic and dopaminergic cardiac stimulants,C01CA
DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01A
hydroxocobalamin,V03AB33
dupilumab,D11AH05
MEDICATED DRESSINGS,D09
"sodium fluoride, combinations",A01AA51
hydrocortisone and mydriatics,S01BB01
Biomedical Occupation or Discipline,T091
ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS,D03B
Adrenergic inhalants in combinations with anticholinergics incl. triple combinations with corticosteroids,R03AL
undecylenic acid,D01AE04
"vilanterol, umeclidinium bromide and fluticasone furoate",R03AL08
etamivan,R07AB04
mofebutazone,M01AA02
Acquired Abnormality,T020
norgestrel and estrogen,G03FA10
castor oil,A06AB05
laronidase,A16AB05
Other antinematodals in ATC,P02CX
melevodopa,N04BA04
nordazepam,N05BA16
metformin and repaglinide,A10BD14
ketobemidone and antispasmodics,N02AG02
acenocoumarol,B01AA07
lenvatinib,L01XE29
hydrogen peroxide,S02AA06
OCULAR VASCULAR DISORDER AGENTS,S01L
Contact laxatives,A06AB
meropenem,J01DH02
Papaverine and derivatives containing drugs for functional gastrointestinal disorders,A03AD
amrubicin,L01DB10
ANTIMYCOTICS FOR SYSTEMIC USE,J02
"fluorouracil, combinations",L01BC52
Vertebrate,T010
etamiphylline,R03DA06
ANTIDIARRHEAL MICROORGANISMS,A07F
"MAO B Inhibitors, dopaminergic anti-parkinson drugs",N04BD
prednylidene,H02AB11
tulobuterol,R03CC11
phenothrin,P03AC03
chlorhexidine,S02AA09
Pertussis vaccines,J07AJ
sodium picosulfate,A06AB08
glucarpidase,V03AF09
melitracen and psycholeptics,N06CA02
Valerianae radix,N05CM09
OTHER BETA-LACTAM ANTIBACTERIALS in ATC,J01D
"silver sulfadiazine, combinations",D06BA51
ropinirole,N04BC04
Professional Society,T094
Antigonadotropins and similar agents,G03XA
cefotiam,J01DC07
phanquinone,P01AX04
triamcinolone,H02AB08
tapentadol,N02AX06
tolcapone,N04BX01
"Pyrimidine analogues, antineoplastic antimetabolites",L01BC
Medicated dressings with antiinfectives,D09AA
Monobactams,J01DF
pheneticillin,J01CE05
eosin,D08AX02
ANTIVIRALS FOR SYSTEMIC USE,J05
dipyridamole,B01AC07
doxepin,N06AA12
parecoxib,M01AH04
"nicotinic acid, combinations",C10AD52
cyclobenzaprine,M03BX08
Centrally acting sympathomimetics,N06BA
"Pregnadien derivatives, progestogens",G03DB
ofatumumab,L01XC10
telaprevir,J05AP02
ganirelix,H01CC01
mecasermin,H01AC03
reserpine and diuretics,C02LA01
QUINOLONE ANTIBACTERIALS,J01M
dienogest,G03DB08
alizapride,A03FA05
prolintane,N06BX14
cytisine,N07BA04
clopamide,C03BA03
Combinations of oral blood glucose lowering drugs,A10BD
"macrogol, combinations",A06AD65
Beta-lactamase sensitive penicillins,J01CE
Pneumococcal vaccines,J07AL
"rubella, combinations with mumps, live attenuated",J07BJ51
calcium gluconate,D11AX03
LIPID MODIFYING AGENTS,C10
Propulsives,A03FA
tesamorelin,H01AC06
simeprevir,J05AP05
sulfacetamide,D10AF06
capsaicin,M02AB01
Other gynecological antiinfectives and antiseptics in ATC,G01AX
"chlorzoxazone, combinations excl. psycholeptics",M03BB53
dolutegravir and rilpivirine,J05AR21
valsartan and aliskiren,C09DX02
polmacoxib,M01AH07
fedrilate,R05DB14
spiramycin and metronidazole,J01RA04
metizoline,R01AA10
ergoloid mesylates,C04AE01
oxedrine,S01GA06
isopropanol,D08AX05
fenspiride,R03BX01
potassium citrate,A12BA02
"pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated",J07AL52
"thiocolchicoside, combinations",M03BX55
technetium (99mTc) technegas,V09EA02
alclometasone,S01BA10
"azithromycin, fluconazole and secnidazole",J01RA07
benzonatate,R05DB01
empagliflozin,A10BK03
sulfamethizole,D06BA04
dolasetron,A04AA04
teduglutide,A16AX08
Combinations for eradication of Helicobacter pylori,A02BD
iclaprim,J01EA03
fosfonet,J05AD02
"Synthetic anticholinergics, esters with tertiary amino group for functional gastrointestinal disorders",A03AA
chloropyramine,D04AA09
peginterferon alfa-2b,L03AB10
dezocine,N02AX03
Other bacterial vaccines in ATC,J07AX
carvedilol and ivabradine,C07FX06
voclosporin,L04AD03
muzolimine,C03CD01
desmopressin,H01BA02
"Corticosteroids, moderately potent, combinations with antibiotics",D07CB
chiniofon,P01AX01
nicotinyl alcohol,C10AD05
sincalide,V04CC03
lynestrenol and estrogen,G03FA07
PERITONEAL DIALYTICS,B05D
tedisamil,C01BD06
"xylometazoline, combinations",S01GA53
tiazofurine,L01XX18
sulfamerazine,J01ED07
clobetasone,S01BA09
cibenzoline,C01BG07
Vitamin B-complex with anabolic steroids,A11ED
tinidazole,P01AB02
mersalyl,C03BC01
acitretin,D05BB02
mandelic acid,J01XX06
interferon alfa-n1,L03AB06
pegaptanib,S01LA03
cromoglicic acid,A07EB01
cefaclor,J01DC04
lomefloxacin,J01MA07
Body Location or Region,T029
desoximetasone,D07XC02
"glucose, combinations",C05BB56
thonzylamine,D04AA01
glycopyrronium bromide,A03AB02
selexipag,B01AC27
"Arsenic compounds, for leishmaniasis and trypanosomiasis",P01CD
lacosamide,N03AX18
"prenylamine, combinations",C01DX52
pasireotide,H01CB05
"Sulfonamides and potassium in combination, low-ceiling diruetics, excluding thiazides",C03BB
isoflurane,N01AB06
ADRENERGICS FOR SYSTEMIC USE,R03C
fluorocarbon blood substitutes,B05AA03
sulfafenazol,S01AB05
captopril and diuretics,C09BA01
Other antihypertensives and diuretics in ATC,C02LX
ademetionine,A16AA02
AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01C
methylphenobarbital,N03AA01
iodine (125I) human albumin,V09GB02
resorcinol,D10AX02
"Methanolquinolines, antimalarial",P01BC
OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS in ATC,S03D
thallium (201Tl) chloride,V09GX01
ifenprodil,C04AX28
Somatostatin and analogues,H01CB
Organic Chemical,T109
gatifloxacin,S01AE06
"dihydrocodeine, combinations",N02AA58
felbinac,M02AA08
opicapone,N04BX04
rubidium (82Rb) chloride,V09GX04
methyclothiazide and potassium,C03AB08
progabide,N03AG05
fencamfamin,N06BA06
benralizumab,R03DX10
Nerve depressant drugs,V03AZ
dimethylphthalate,P03BX02
niflumic acid,M01AX02
glisoxepide,A10BB11
fluocortolone,D07XC05
PSYCHOLEPTICS,N05
"Antiinflammatory preparations, non-steroids for topical use",M02AA
ceftibuten,J01DD14
Direct thrombin inhibitors,B01AE
technetium (99mTc) sulesomab,V09HA04
"Fatty acid derivatives, antiepileptics",N03AG
cation exchange resins,V04CG01
sorafenib,L01XE05
dapsone,D10AX05
carglumic acid,A16AA05
tolmetin,M01AB03
cloperastine,R05DB21
fludroxycortide,D07AC07
hydroxyzine,N05BB01
IMMUNOSTIMULANTS,L03
MAO inhibitors and diuretics,C02LL
faropenem,J01DI03
pentagastrin,V04CG04
zinc bandage with supplements,D09AB02
pholcodine,R05DA08
Iron in various other combinations,B03AE10
rutoside,C05CA01
amlodipine and diuretics,C08GA02
butylscopolamine and analgesics,A03DB04
diazoxide,V03AH01
combinations of different antibiotics,S01AA30
ferric oxide polymaltose complexes,B03AB05
flucytosine,J02AX01
cloxacillin,J01CF02
spaglumic acid,R01AC05
sulbutiamine,A11DA02
fluorometholone,C05AA06
trifluperidol,N05AD02
isopropamide and psycholeptics,A03CA01
"aminophylline, combinations",R03DA55
"octenidine, combinations",G01AX66
carbocromen,C01DX05
otilonium bromide and psycholeptics,A03CA04
"Iron trivalent, oral antianemic preparations",B03AB
factor VIII inhibitor bypassing activity,B02BD03
ferric acetyl transferrin,B03AB08
benorilate,N02BA10
levobunolol,S01ED03
phentolamine,C04AB01
medical air,V03AN05
HEPATIC AND RETICULO ENDOTHELIAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,V09D
CALCIUM SUPPLEMENTS,A12A
Other vasodilators used in cardiac diseases in ATC,C01DX
diphtheria immunoglobulin,J06BB10
Corticosteroids acting locally,A07EA
"Progestogens, endocrine therapy drugs",L02AB
clotrimazole,D01AC01
alfaxalone,N01AX05
Governmental or Regulatory Activity,T064
cinacalcet,H05BX01
potassium chloride,B05XA01
saxagliptin,A10BH03
pivmecillinam,J01CA08
Alpha and beta blocking agents and thiazides,C07BG
trometamol,B05BB03
mebutizide and potassium-sparing agents,C03EA05
combinations of corticosteroids,D07XB30
DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05B
Medical gases,V03AN
olanzapine,N05AH03
hexoprenaline,R03AC06
gallium (68Ga) edotreotide,V09IX09
elosulfase alfa,A16AB12
isoprenaline,C01CA02
Nitrogen mustard analogues,L01AA
conjugated estrogens,G03CA57
botulinum antitoxin,J06AA04
amlodipine,C08CA01
tritoqualine,R06AX21
vaccinia immunoglobulin,J06BB07
trypsin,D03BA01
sodium fluoride,A01AA01
eletriptan,N02CC06
butanilicaine,N01BB05
brigatinib,L01XE43
tretoquinol,R03AC09
ciclopirox,D01AE14
Chemical Viewed Functionally,T120
meladrazine,G04BD03
"ampicillin, combinations",J01CA51
ramipril and amlodipine,C09BB07
iodamide,V08AA03
"famotidine, combinations",A02BA53
adipiodone,V08AC04
iprazochrome,N02CX03
calcium citrate lysine complex,A12AA09
ethylestrenol,A14AB02
doxylamine,R06AA09
indium (111In) oxinate labelled cells,V09HB01
formoterol and aclidinium bromide,R03AL05
acetylsalicylic acid,A01AD05
etoglucid,L01AG01
"ergotamine, combinations with psycholeptics",N02CA72
"oxytetracycline, combinations",J01AA56
idoxuridine,J05AB02
Antiinflammatory/antirheumatic agents in combination with corticosteroids,M01BA
bezafibrate,C10AB02
practolol,C07AB01
fluorouracil,L01BC02
propiverine,G04BD06
mold fungus and yeast fungus allergenic extracts,V01AA04
norfenefrine,C01CA05
deslanoside,C01AA07
secobarbital,N05CA06
velmanase alfa,A16AB15
"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07
insect allergenic extracts,V01AA07
vinbarbital,N05CA09
"Progestogens and estrogens, sequential preparations",G03FB
lonidamine,L01XX07
lamotrigine,N03AX09
loperamide,A07DA03
"rota virus, live attenuated",J07BH01
"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",A11G
sulfapyridine,J01EB04
"paracetamol, combinations with psycholeptics",N02BE71
ritonavir,J05AE03
Other analgesics and antipyretics in ATC,N02BG
lenograstim,L03AA10
"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC",S01B
carbetocin,H01BB03
"poliomyelitis, trivalent, inactivated, whole virus",J07BF03
methylprednisolone,D07AA01
eslicarbazepine,N03AF04
"lidocaine, combinations",N01BB52
anakinra,L04AC03
Androgens and estrogens,G03EA
hyaluronic acid,S01KA01
ritiometan,R01AX05
canrenone,C03DA03
dydrogesterone and estrogen,G03FB08
Other cytotoxic antibiotics in ATC,L01DC
guar gum,A10BX01
ivermectin,D11AX22
"chlorphenoxamine, combinations",R06AA56
plastic IUD with copper,G02BA02
glycerol,A06AG04
STOMATOLOGICAL PREPARATIONS,A01
metergoline,G02CB05
propiomazine,N05CM06
"chlormezanone, combinations with psycholeptics",M03BB72
sodium folinate,V03AF06
adapalene,D10AD03
paramethadione,N03AC01
Cimicifugae rhizoma,G02CX04
VITAMINS,A11
boric acid,S02AA03
"Artemisinin and derivatives, plain",P01BE
lifitegrast,S01XA25
sulfur compounds,D11AC08
phenprocoumon,B01AA04
rasagiline,N04BD02
pancreozymin (cholecystokinin),V04CK02
Varicella zoster vaccines,J07BK
carbuterol,R03AC10
roxatidine,A02BA06
Soft paraffin dressings,D09AX
niraparib,L01XX54
acriflavinium chloride,R02AA13
Tissue adhesives,V03AK
ethacridine lactate,B05CA08
Fibrinogen containing hemostatics,B02BB
fluticasone,R03BA05
ciclesonide,R03BA08
BETA BLOCKING AGENTS AND THIAZIDES,C07B
azilsartan medoxomil and diuretics,C09DA09
"clofenotane, combinations",P03AB51
"MAO A Inhibitors, antidepressant drugs",N06AG
potassium polysulfide,P03AA02
iodoxamic acid,V08AC01
"HMG CoA reductase inhibitors, plain lipid modifying drugs",C10AA
meclofenamic acid,M01AG04
dihydrocodeine and other non-opioid analgesics,N02AJ03
"Purine analogs, antimetabolites antineoplastic",L01BB
saruplase,B01AD08
mesulfen,D10AB05
bupropion,N06AX12
cough suppressants and mucolytics,R05FB01
pyridostigmine,N07AA02
benzbromarone,M04AB03
nalmefene,N07BB05
Other estrogens in ATC,G03CX
"Taxanes, antineoplastic",L01CD
"pneumococcus, purified polysaccharides antigen conjugated",J07AL02
benzododecinium,D09AA05
Other drugs used in benign prostatic hypertrophy in ATC,G04CX
chloramphenicol,D10AF03
INFANT FORMULAS,V06C
ephedrine,R01AB05
phenoxymethylpenicillin,J01CE02
Congenital Abnormality,T019
Psychostimulants in combination with psycholeptics,N06CB
cisapride,A03FA02
aniracetam,N06BX11
hydrocortisone and antiinfectives,S03CA04
betamethasone,R01AD06
"fentanyl, combinations",N01AH51
celecoxib,M01AH01
ximelagatran,B01AE05
metformin and sulfonylureas,A10BD02
pipazetate,R05DB11
"penicillins, combinations with other antibacterials",J01RA01
Drugs for embolisation,V03AM
diphtheria-pertussis-poliomyelitis-tetanus,J07CA02
tuaminoheptane,R01AB08
otologic analgesic and anesthetic combinations,S02DA30
Papillomavirus vaccines,J07BM
ergot alkaloids,G02AB02
ANTIEMETICS AND ANTINAUSEANTS,A04
"perindopril, amlodipine and indapamide",C09BX01
eculizumab,L04AA25
OTHER DERMATOLOGICAL PREPARATIONS in ATC,D11A
acrivastine,R06AX18
timolol and thiazides,C07BA06
Event,T051
ANABOLIC AGENTS FOR SYSTEMIC USE,A14
levonorgestrel and ethinylestradiol,G03AA07
"Iron bivalent, oral antianemic preparations",B03AA
diphtheria toxoid,J07AF01
ferrous tartrate,B03AA08
Betulae cortex,D03AX13
Immunologic Factor,T129
levoverbenone,R05CA11
clarithromycin,J01FA09
xylometazoline,S01GA03
diprophylline and adrenergics,R03DB01
brimonidine,S01EA05
etidronic acid,M05BA01
insulin glargine and lixisenatide,A10AE54
drospirenone and estrogen,G03FA17
THYROID PREPARATIONS,H03A
samarium (153Sm) hydroxyapatite colloid,V10AX02
"atenolol and other diuretics, combinations",C07CB53
Bile acid sequestrants,C10AC
diphtheria-hepatitis B-pertussis-tetanus,J07CA05
Gonadotropin-releasing hormones,H01CA
Antacids with antispasmodics,A02AG
cimetropium bromide,A03BB05
flomoxef,J01DC14
zinc acetate,A16AX05
"typhus exanthematicus, inactivated, whole cell",J07AR01
Selective immunosuppressants,L04AA
alprostadil,G04BE01
enoximone,C01CE03
dexamethasone,D07XB05
"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds for functional gastrointestinal disorders",A03BB
cetirizine,R06AE07
silver sulfadiazine,D06BA01
caroverine,A03AX11
Various alimentary tract and metabolism products,A16AX
tribenoside,C05CX01
"Corticosteroids, moderately potent, other combinations",D07XB
"Preparations containing sulfur, anti-acne preparations for topical use",D10AB
Other anterior pituitary lobe hormones and analogues in ATC,H01AX
"Carboxamide derivatives, antiepileptics",N03AF
interferon gamma,L03AB03
fluprednidene,D07AB07
colistin,J01XB01
ganciclovir,S01AD09
metronidazole,G01AF01
sulfadimethoxine,J01ED01
phenoperidine,N01AH04
COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02,C02N
oxytetracycline,G01AA07
metopimazine,A04AD05
dexamethasone and antiinfectives,S03CA01
chloroquine,P01BA01
ketanserin,C02KD01
Other drugs for constipation in ATC,A06AX
mefloquine,P01BC02
efavirenz,J05AG03
paramethasone,H02AB05
various other intestinal adsorbents in ATC,M02AX10
insulin (pork),A10AB03
ketobemidone,N02AB01
cefoxitin,J01DC01
Acetic acid derivatives and related substances,M01AB
sulfametoxydiazine,J01ED04
betamethasone,S01BA06
sorbitol,A06AD18
viloxazine,N06AX09
insulin glulisine,A10AB06
thiocolchicoside,M03BX05
elotuzumab,L01XC23
chlorzoxazone,M03BB03
fusidic acid,D09AA02
lepirudin,B01AE02
"Alkaloids, excl. rauwolfia, in combination with diuretics",C02LK
oxazepam,N05BA04
"chloropyramine, combinations",R06AC53
monobenzone,D11AX13
"Other drugs for obstructive airway diseases, inhalants in ATC",R03BX
Vitamin K containing hemostatics,B02BA
paracetamol,N02BE01
colestilan,V03AE06
rimazolium,N02BG02
Capsaicin and similar agents,M02AB
"pentaerithrityl tetranitrate, combinations",C01DA55
Dichloroacetamide derivative drugs for amoebiasis and other protozoal diseases,P01AC
indometacin,M02AA23
"Corticosteroids and antiinfectives in combination, opthalmologic and otologic",S03C
Body Space or Junction,T030
"streptokinase, combinations",B06AA55
canakinumab,L04AC08
artemether,P01BE02
alectinib,L01XE36
chloramphenicol,S01AA01
mibefradil,C08CX01
patiromer calcium,V03AE09
benzylthiouracil,H03BA03
copper oleinate,P03AX02
bucetin,N02BE04
dixyrazine,N05AB01
"Monoamine oxidase inhibitors, non-selective",N06AF
technetium (99mTc) phytate,V09DB07
febuxostat,M04AA03
brexpiprazole,N05AX16
pentazocine,N02AD01
penicillamine,M01CC01
protirelin,V04CJ02
technetium (99mTc) human albumin,V09GA04
tertatolol,C07AA16
bufylline,R03DA10
alsactide,V04CH04
penfluridol,N05AG03
atazanavir and cobicistat,J05AR15
microspheres of human albumin,V08DA01
technetium (99mTc) apcitide,V09GA07
Other alkylating agents in ATC,L01AX
mebutamate,N05BC04
PERIPHERAL VASODILATORS,C04A
iopamidol,V08AB04
"typhoid, purified polysaccharide antigen",J07AP03
miglitol,A10BF02
tinzaparin,B01AB10
benzocaine,N01BA05
itraconazole,J02AC02
Other uterotonics in ATC,G02AX
lynestrenol,G03DC03
"Local anesthetics, ophthalmologic",S01H
pyritinol,N06BX02
perflubron,V08CX01
"collagen, combinations",D11AX57
tazobactam,J01CG02
"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",H02B
RENAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,V09C
Organic nitrates used in cardiac disease,C01DA
arginine hydrochloride,B05XB01
lovastatin,C10AA02
combinations of sulfonamides,G01AE10
Other cardiac stimulants in ATC,C01CX
microspheres of phospholipids,V08DA04
azatadine,R06AX09
troxipide,A02BX11
mercaptopurine,L01BB02
multivitamins and trace elements,A11AA04
lurasidone,N05AE05
methylhomatropine and psycholeptics,A03CB04
"Iron, parenteral antianemic preparations",B03AC
"carbenoxolone, combinations with psycholeptics",A02BX71
indium (111In) capromab pendetide,V09IB04
"verapamil, combinations",C08DA51
potassium permanganate,V03AB18
tamsulosin and dutasteride,G04CA52
chlorambucil,L01AA02
riociguat,C02KX05
"influenza, inactivated, split virus or surface antigen",J07BB02
fludarabine,L01BB05
ancestim,L03AA12
Social Behavior,T054
isosorbide dinitrate,C01DA08
