name,atc,inchi_key,smiles
"o-[2-(1,3-dioxo-1,3-dihydro-2h-isoindol-2-yl)ethyl] (4-iodophenyl)thiocarbamate",,CYYIBMGIJWXZEP-UHFFFAOYSA-N,IC1=CC=C(NC(=S)OCCN2C(=O)C3=C(C=CC=C3)C2=O)C=C1
"(2r)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol",,SQUNOCMDMIQIQK-OAHLLOKOSA-N,[H][C@@](CC)(CO)NC1=NC2=C(C=NN2C(NCC2=CC=CC=C2)=N1)C(C)C
naphthyloxyacetic acid,,GHRYSOFWKRRLMI-UHFFFAOYSA-N,OC(=O)COC1=CC=CC2=CC=CC=C12
"(1r,2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide",,QTGNVZPFJQOWFL-XJKSGUPXSA-N,[H][C@@]1(CS(=O)(=O)C2=CC=C(OC)C=C2)CCCC[C@@]1([H])C(=O)NCCN
cyclohexyl-norstatine,,GSYSEQUYQXPNHH-NWDGAFQWSA-N,[H][C@](N)(CC1CCCCC1)[C@@]([H])(O)C(=O)OC(C)C
n-(para-glutaramidophenyl-ethyl)-piperidinium-n-oxide,,RKJXWOJUCCBWSC-UHFFFAOYSA-N,OC(=O)CCCC(=O)NC1=CC=C(CC[N+]2([O-])CCCCC2)C=C1
n-(3-aminopropyl)-2-nitrobenzenamine,,GVGDDEYVTBKACE-UHFFFAOYSA-N,NCCCNC1=CC=CC=C1[N+]([O-])=O
"(5z)-12-chloro-13,15-dihydroxy-4,7,8,9-tetrahydro-2-benzoxacyclotridecine-1,10(3h,11h)-dione",,AQKZYZQONWDDLS-IWQZZHSRSA-N,OC1=CC(O)=C2C(CC(=O)CCC\C=C/CCOC2=O)=C1Cl
"(5e)-12-chloro-13,15-dihydroxy-4,7,8,9-tetrahydro-2-benzoxacyclotridecine-1,10(3h,11h)-dione",,AQKZYZQONWDDLS-HNQUOIGGSA-N,OC1=CC(O)=C2C(CC(=O)CCC\C=C\CCOC2=O)=C1Cl
2-(4-hydroxy-3-nitrophenyl)acetic acid,,QBHBHOSRLDPIHG-UHFFFAOYSA-N,OC(=O)CC1=CC(=C(O)C=C1)[N+]([O-])=O
4-hydroxy-3-nitrophenylacetyl-epsilon-aminocaproic acid anion,,XAYGJFACOIKJCT-UHFFFAOYSA-M,OC1=C(C=C(CC(=O)NCCCCCC([O-])=O)C=C1)[N+]([O-])=O
5-(para-nitrophenyl phosphonate)-pentanoic acid,,XVVZSEXTAACTPS-UHFFFAOYSA-M,OC(=O)CCCC[P@]([O-])(=O)OC1=CC=C(C=C1)[N+]([O-])=O
orthonitrophenyl-beta-d-fucopyranoside,,SWRPIVXPHLYETN-BVWHHUJWSA-N,[H][C@]1(C)O[C@@]([H])(OC2=CC=CC=C2[N+]([O-])=O)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
"4-[8-(3-nitrophenyl)-1,7-naphthyridin-6-yl]benzoic acid",,QTNUWEKKZHSUQO-UHFFFAOYSA-N,OC(=O)C1=CC=C(C=C1)C1=NC(C2=CC=CC(=C2)[N+]([O-])=O)=C2N=CC=CC2=C1
"1-methyl-3-naphthalen-2-yl-1h-pyrazolo[3,4-d]pyrimidin-4-amine",,UOKGZPYGRJDACN-UHFFFAOYSA-N,CN1N=C(C2=C(N)N=CN=C12)C1=CC2=CC=CC=C2C=C1
n-({[4-(aminosulfonyl)phenyl]amino}carbonyl)-4-methylbenzenesulfonamide,,HDCXQTPVTAIPNZ-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1=CC=C(C=C1)S(N)(=O)=O
3-[5-(2-nitropent-1-en-1-yl)furan-2-yl]benzoic acid,,IRHZCQDCMUWUKV-RAXLEYEMSA-N,CCC\C(=C\C1=CC=C(O1)C1=CC(=CC=C1)C(O)=O)[N+]([O-])=O
"(3s)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2h-1,2,4-benzothiadiazine 1,1-dioxide",,CUMKMTBOHBENJI-SFHVURJKSA-N,[H][C@@]1(NC2=CC(C)=C(C=C2S(=O)(=O)N1)S(=O)(=O)N1CCN(C)CC1)C1CCCC1
"(3r)-3-cyclopentyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2h-1,2-benzothiazine 1,1-dioxide",,QZBQVXXESPXFPZ-QGZVFWFLSA-N,[H][C@@]1(CC2=C(C=C(C=C2)S(=O)(=O)N2CCN(C)CC2)S(=O)(=O)N1)C1CCCC1
"(3r)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2h-1,2-benzothiazine 1,1-dioxide",,KQAGZLQCEURCKJ-QGZVFWFLSA-N,[H][C@@]1(CC2=CC(C)=C(C=C2S(=O)(=O)N1)S(=O)(=O)N1CCN(C)CC1)C1CCCC1
3-[(3-nitrophenyl)sulfamoyl]-2-thiophenecarboxylic acid,,CITCNTPVKZFUAJ-UHFFFAOYSA-N,[H]N(C1=CC(=CC=C1)[N+]([O-])=O)S(=O)(=O)C1=C(SC=C1)C(O)=O
"2-{hydroxy[2-nitro-4-(trifluoromethyl)phenyl]methylene}cyclohexane-1,3-dione",,PMHVFNYNPNKNRO-UHFFFAOYSA-N,OC(C1=CC=C(C=C1[N+]([O-])=O)C(F)(F)F)=C1C(=O)CCCC1=O
"succinic acid mono-(13-methyl-3-oxo-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1h-cyclopenta[a]phenanthren-17-yl) ester",,IRQUJNVGEAJGSD-KIEDKLRZSA-N,[H][C@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4([H])[C@@]3([H])CC[C@]12C)OC(=O)CCC(O)=O
3-({2-[(4-{[6-(cyclohexylmethoxy)-9h-purin-2-yl]amino}phenyl)sulfonyl]ethyl}amino)propan-1-ol,,AMFGILNPFBVREA-UHFFFAOYSA-N,OCCCNCCS(=O)(=O)C1=CC=C(NC2=NC(OCC3CCCCC3)=C3N=CNC3=N2)C=C1
"n-[(2r)-2-{[(2s)-2-(1,3-benzoxazol-2-yl)pyrrolidin-1-yl]carbonyl}hexyl]-n-hydroxyformamide",,QDDZLTVSNABZIK-ZBFHGGJFSA-N,[H][C@@](CCCC)(CN(O)C=O)C(=O)N1CCC[C@@]1([H])C1=NC2=C(O1)C=CC=C2
"6-cyclohexylmethyloxy-5-nitroso-pyrimidine-2,4-diamine",,DGWXOLHKVGDQLN-UHFFFAOYSA-N,NC1=NC(N)=C(N=O)C(OCC2CCCCC2)=N1
nocodazole,,KYRVNWMVYQXFEU-UHFFFAOYSA-N,COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CS1
"(2-amino-1,3-oxazol-5-yl)-(3-bromophenyl)methanone",,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1
"2-amino-n,n-bis(phenylmethyl)-1,3-oxazole-5-carboxamide",,KIJXWOGFYAWTNC-UHFFFAOYSA-N,NC1=NC=C(O1)C(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1
"4-amino-7,7-dimethyl-7,8-dihydroquinazolin-5(6h)-one",,DYPFWRCGECJCBK-UHFFFAOYSA-N,CC1(C)CC(=O)C2=C(N)N=CN=C2C1
"5-methyl-6-phenylquinazoline-2,4-diamine",,HUCOXWPHDFINIW-UHFFFAOYSA-N,CC1=C(C=CC2=NC(N)=NC(N)=C12)C1=CC=CC=C1
"6-(2-phenoxyethoxy)-1,3,5-triazine-2,4-diamine",,LRQXUZUFSOQMGU-UHFFFAOYSA-N,NC1=NC(OCCOC2=CC=CC=C2)=NC(N)=N1
"2'-hydroxy-1,1'-biphenyl-2-sulfinic acid",,HPKSNFTYZHYEKV-UHFFFAOYSA-N,OC1=CC=CC=C1C1=CC=CC=C1[S@@](O)=O
"diethyl (1r,2s,3r,4s)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2,3-dicarboxylate",,NHKDFDHHMHBFLG-COPRSSIGSA-N,[H][C@]12O[C@]([H])(C(=C1C1=CC=C(O)C=C1)C1=CC=C(O)C=C1)[C@]([H])(C(=O)OCC)[C@]2([H])C(=O)OCC
"(1s,2s,3r,6r)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1,2,3-triol",,UPZUHYMBTUUPML-KBXIAJHMSA-N,[H][C@@]1(O)C(CO)=C[C@@]([H])(NCCCCCCCC)[C@]([H])(O)[C@@]1([H])O
"2-deoxy-3,4-bis-o-[3-(4-hydroxyphenyl)propanoyl]-l-threo-pentaric acid",,VJLMRHSHSNLOGC-NOPZTHQXSA-N,[H][C@@](CC(O)=O)(OC(=O)\C=C\C1=CC=C(O)C=C1)[C@@]([H])(OC(=O)\C=C\C1=CC=C(O)C=C1)C(O)=O
3-oxo-n-[(3s)-2-oxopyrrolidin-3-yl]dodecanamide,,VEYZCVBECUYIJZ-AWEZNQCLSA-N,[H][C@@]1(CCNC1=O)NC(=O)CC(=O)CCCCCCCCC
n-3-oxo-dodecanoyl-l-homoserine lactone,,PHSRRHGYXQCRPU-AWEZNQCLSA-N,[H][C@@]1(CCOC1=O)NC(=O)CC(=O)CCCCCCCCC
2-(2-hydroxyethylamino)-6-(3-chloroanilino)-9-isopropylpurine,,XZEFMZCNXDQXOZ-UHFFFAOYSA-N,CC(C)N1C=NC2=C1NC(NCCO)=N\C2=N/C1=CC=CC(Cl)=C1
"2-(6-hydroxy-1,3-benzothiazol-2-yl)-1,3-thiazol-4(5h)-one",,JJVOROULKOMTKG-UHFFFAOYSA-N,OC1=CC2=C(C=C1)N=C(S2)C1=NC(=O)CS1
"2-(3,6-dihydroxyphenyl)acetic acid",,IGMNYECMUMZDDF-UHFFFAOYSA-N,OC(=O)CC1=CC(O)=CC=C1O
pantothenyl-aminoethanol-11-pivalic acid,,BUEKNBNKVUKNIB-LBPRGKRZSA-N,[H][C@](O)(C(=O)NCCC(=O)NCCO)C(C)(C)COC(=O)C(C)(C)C
sulthiame,N03AX03,HMHVCUVYZFYAJI-UHFFFAOYSA-N,NS(=O)(=O)C1=CC=C(C=C1)N1CCCCS1(=O)=O
methyl (2z)-3-methoxy-2-{2-[(e)-2-phenylvinyl]phenyl}acrylate,,VEJCBCPEURAYAS-MEAXDALNSA-N,CO\C=C(\C(=O)OC)C1=C(\C=C\C2=CC=CC=C2)C=CC=C1
"n-1h-imidazol-2-yl-n'-[4-(1h-imidazol-2-ylamino)phenyl]benzene-1,4-diamine",,JHMXUERQMCJRHG-UHFFFAOYSA-N,N(C1=NC=CN1)C1=CC=C(NC2=CC=C(NC3=NC=CN3)C=C2)C=C1
9-(2-carboxyethyl)-10-methylanthracene endoperoxide,,IOWYALZFEJOVHO-HDICACEKSA-N,C[C@@]12OO[C@@](CCC(O)=O)(C3=C1C=CC=C3)C1=C2C=CC=C1
4-hydroxybenzaldehyde o-(cyclohexylcarbonyl)oxime,,YWZBYSBZDQWXGQ-XNTDXEJSSA-N,OC1=CC=C(\C=N\OC(=O)C2CCCCC2)C=C1
3-fluoro-4-hydroxybenzaldehyde o-(cyclohexylcarbonyl)oxime,,NPVNUGQNVVMJJP-CXUHLZMHSA-N,OC1=CC=C(\C=N\OC(=O)C2CCCCC2)C=C1F
"4-hydroxybenzaldehyde o-(3,3-dimethylbutanoyl)oxime",,IRHAIEVALGHVLW-NTEUORMPSA-N,CC(C)(C)CC(=O)O\N=C\C1=CC=C(O)C=C1
"2-methyl-2-propanyl [(1r)-2-methyl-1-(1,3,4-oxadiazol-2-yl)propyl]carbamate",,PARUDDGQWSBIIO-MRVPVSSYSA-N,[H]N(C(=O)OC(C)(C)C)[C@]([H])(C(C)C)C1=NN=CO1
"2-methyl-2-propanyl [(1s)-2-methyl-1-(1,3,4-oxadiazol-2-yl)propyl]carbamate",,PARUDDGQWSBIIO-QMMMGPOBSA-N,[H]N(C(=O)OC(C)(C)C)[C@@]([H])(C(C)C)C1=NN=CO1
"19-(cyclopropylamino)-4,6,7,15-tetrahydro-5h-16,1-(azenometheno)-10,14-(metheno)pyrazolo[4,3-o][1,3,9]triazacyclohexadecin-8(9h)-one",,HIJNSOUPEZHEMC-UHFFFAOYSA-N,O=C1CCCCC2=C3N=C(NC4=CC(N1)=CC=C4)N=C(NC1CC1)N3N=C2
"6-(2,6-dichlorophenyl)-2-{[3-(hydroxymethyl)phenyl]amino}-8-methylpyrido[2,3-d]pyrimidin-7(8h)-one",,ZIQFYVPVJZEOFS-UHFFFAOYSA-N,CN1C(=O)C(=CC2=CN=C(NC3=CC(CO)=CC=C3)N=C12)C1=C(Cl)C=CC=C1Cl
"n,n'-diphenylpyrazolo[1,5-a][1,3,5]triazine-2,4-diamine",,LLYYAUZAGCZEKV-UHFFFAOYSA-N,N(C1=CC=CC=C1)C1=NC2=CC=NN2C(NC2=CC=CC=C2)=N1
"4-{[4-{[(1r,2r)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-n-methylbenzenesulfonamide",,CAUFYHKGKDJMQG-HZPDHXFCSA-N,[H][C@]1(CCC[C@@]1([H])N(C)C)NC1=NC(NC2=CC=C(C=C2)S(=O)(=O)NC)=NC=C1C(F)(F)F
s-palmitoyl-l-cysteine,,FRAMWPHPFIXRCP-KRWDZBQOSA-N,[H][C@](N)(CSC(=O)CCCCCCCCCCCCCCC)C(O)=O
4-chloro-n-(3-methoxypropyl)-n-[(3s)-1-(2-phenylethyl)piperidin-3-yl]benzamide,,OOUGHDJEJNMXSV-QHCPKHFHSA-N,[H][C@@]1(CCCN(CCC2=CC=CC=C2)C1)N(CCCOC)C(=O)C1=CC=C(Cl)C=C1
"4-(2-(1h-imidazol-4-yl)ethylamino)-2-(phenylamino)pyrazolo[1,5-a][1,3,5]triazine-8-carbonitrile",,IWUUKHQIKFHWIW-UHFFFAOYSA-N,N#CC1=C2N=C(NC3=CC=CC=C3)N=C(NCCC3=CN=CN3)N2N=C1
"(5z)-13-chloro-14,16-dihydroxy-3,4,7,8,9,10-hexahydro-1h-2-benzoxacyclotetradecine-1,11(12h)-dione",,YUZYDHRGGDTZLG-DUXPYHPUSA-N,OC1=CC(O)=C2C(CC(=O)CCCC\C=C\CCOC2=O)=C1Cl
4-{[(2s)-3-(tert-butylamino)-2-hydroxypropyl]oxy}-3h-indole-2-carbonitrile,,CQEFAUFOQSCRMZ-LBPRGKRZSA-N,CC(C)(C)NC[C@H](O)COC1=CC=CC2=C1CC(=N2)C#N
"n~2~,n~2~-dimethyl-n~1~-(6-oxo-5,6-dihydrophenanthridin-2-yl)glycinamide",,UYJZZVDLGDDTCL-UHFFFAOYSA-N,CN(C)CC(=O)NC1=CC2=C(NC(=O)C3=CC=CC=C23)C=C1
"n-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1h-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide",,WMEYCLAVMZKZCS-UHFFFAOYSA-N,CN1C2=C(C=NN2C2=C(F)C=C(F)C=C2)C(NC2=C(C)C=CC(=C2)C(=O)NC2CC2)=CC1=O
"5-[3-(2-methoxyphenyl)-1h-pyrrolo[2,3-b]pyridin-5-yl]-n,n-dimethylpyridine-3-carboxamide",,GYQRHHQPEMOLKH-UHFFFAOYSA-N,COC1=CC=CC=C1C1=CNC2=C1C=C(C=N2)C1=CC(=CN=C1)C(=O)N(C)C
n-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide,,MNEXDVSJIUQQRH-UHFFFAOYSA-N,CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1
"6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-n-(1-methylethyl)-1,3-benzothiazol-2-amine",,FQYJTHIYAQQJAB-UHFFFAOYSA-N,CC(C)NC1=NC2=C(S1)C=C(C=C2)C1=C(N=CO1)C1=CC=CC=C1F
"2-(cyclohexylmethylamino)-4-(phenylamino)pyrazolo[1,5-a][1,3,5]triazine-8-carbonitrile",,NCVMTHVSAJMOPI-UHFFFAOYSA-N,N#CC1=C2N=C(NCC3CCCCC3)N=C(NC3=CC=CC=C3)N2N=C1
"2-(4-chlorobenzylamino)-4-(phenylamino)pyrazolo[1,5-a][1,3,5]triazine-8-carbonitrile",,QCVULERVJOYHCP-UHFFFAOYSA-N,ClC1=CC=C(CNC2=NC3=C(C=NN3C(NC3=CC=CC=C3)=N2)C#N)C=C1
"1-methyl-8-(phenylamino)-4,5-dihydro-1h-pyrazolo[4,3-h]quinazoline-3-carboxylic acid",,ZOBRPBVIEUWYJR-UHFFFAOYSA-N,CN1N=C(C(O)=O)C2=C1C1=NC(NC3=CC=CC=C3)=NC=C1CC2
"4-[4-(4-methoxyphenyl)-5-methyl-1h-pyrazol-3-yl]benzene-1,3-diol",,GSBFARPNIZUMHA-UHFFFAOYSA-N,COC1=CC=C(C=C1)C1=C(C)NN=C1C1=C(O)C=C(O)C=C1
1-ethoxy-2-(2-ethoxyethoxy)ethane,,RRQYJINTUHWNHW-UHFFFAOYSA-N,CCOCCOCCOCC
"2-(2-quinolin-3-ylpyridin-4-yl)-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one",,OWFLADWRSCINST-UHFFFAOYSA-N,O=C1NCCC2=C1C=C(N2)C1=CC(=NC=C1)C1=CC2=C(C=CC=C2)N=C1
2-phenylamino-4-methyl-5-acetyl thiazole,,UIIUOFPGDKBCEZ-UHFFFAOYSA-N,CC(=O)C1=C(C)N=C(NC2=CC=CC=C2)S1
"2-(4-ethylpiperazin-1-yl)-4-(phenylamino)pyrazolo[1,5-a][1,3,5]triazine-8-carbonitrile",,BIFHJPUTQBOBGJ-UHFFFAOYSA-N,CCN1CCN(CC1)C1=NC2=C(C=NN2C(NC2=CC=CC=C2)=N1)C#N
"2-{[(1r,2s)-2-aminocyclohexyl]amino}-4-[(3-methylphenyl)amino]pyrimidine-5-carboxamide",,NZNTWOVDIXCHHS-LSDHHAIUSA-N,[H][C@]1(N)CCCC[C@@]1([H])NC1=NC(NC2=CC=CC(C)=C2)=C(C=N1)C(N)=O
"n-(3-(8-cyano-4-(phenylamino)pyrazolo[1,5-a][1,3,5]triazin-2-ylamino)phenyl)acetamide",,QVKXQLGRDOMAGC-UHFFFAOYSA-N,CC(=O)NC1=CC=CC(NC2=NC3=C(C=NN3C(NC3=CC=CC=C3)=N2)C#N)=C1
1-(9-ethyl-9h-carbazol-3-yl)-n-methylmethanamine,,LBPNOEAFWYTTEB-UHFFFAOYSA-N,CCN1C2=CC=C(CNC)C=C2C2=C1C=CC=C2
1-{[(1e)-(3-hydroxy-2-methyl-5-{[(trihydroxy-lambda^5^-phosphanyl)oxy]methyl}pyridin-4-yl)methylidene]amino}undecan-2-one,,VERCTSZYCODNLU-DEDYPNTBSA-N,CCCCCCCCCC(=O)C\N=C\C1=C(COP(O)(O)O)C=NC(C)=C1O
"8-bromo-4-(2-chlorophenyl)-n-(2-hydroxyethyl)-6-methyl-1,3-dioxo-1,2,3,6-tetrahydropyrrolo[3,4-e]indole-7-carboxamide",,XUAHLMVOYLUYSB-UHFFFAOYSA-N,CN1C2=C(C(Br)=C1C(=O)NCCO)C1=C(C(=O)NC1=O)C(=C2)C1=C(Cl)C=CC=C1
"3-({3-[(1s,4as,6s,7s,9s,9ar)-1,6-dimethyl-2-oxodecahydro-6,9-epoxy-4a,7-methanobenzo[7]annulen-1-yl]propanoyl}amino)-2,4-dihydroxybenzoic acid",,XADCWKSMHQPTGH-OFBLZTNGSA-N,[H][C@]12C[C@]3([H])O[C@@]1(C)C[C@@]1(C2)CCC(=O)[C@@](C)(CCC(=O)NC2=C(O)C=CC(C(O)=O)=C2O)[C@]31[H]
(r)-2-(formyloxy)-3-(phosphonooxy)propyl pentanoate,,JDTMNMAQWVSSOO-MRVPVSSYSA-N,[H][C@@](COC(=O)CCCC)(COP(O)(O)=O)OC=O
"octane-1,3,5,7-tetracarboxylic acid",,UEYGDIASMOPQFG-XLPZGREQSA-N,[H][C@](C)(C[C@]([H])(C[C@@]([H])(CCC(O)=O)C(O)=O)C(O)=O)C(O)=O
1-(biphenyl-4-ylmethyl)-1h-imidazole,,DLYMRVCQTVOYEW-UHFFFAOYSA-N,C(N1C=CN=C1)C1=CC=C(C=C1)C1=CC=CC=C1
s-(4-bromobenzyl)cysteine,,QZGWXEMBSFZEBK-VIFPVBQESA-N,[H][C@](N)(CSCC1=CC=C(Br)C=C1)C(O)=O
para-(benzoyl)-phenylalanine,,TVIDEEHSOPHZBR-AWEZNQCLSA-N,[H][C@](N)(CC1=CC=C(C=C1)C(=O)C1=CC=CC=C1)C(O)=O
1-[2-(4-ethoxy-3-fluoropyridin-2-yl)ethyl]-3-(5-methylpyridin-2-yl)thiourea,,QOVMZMFNTIUFLU-UHFFFAOYSA-N,CCOC1=C(F)C(CCNC(=S)NC2=CC=C(C)C=N2)=NC=C1
"4,4'-bis([h]methylsulfonyl)-2,2',5,5'-tetrachlorobiphenyl",,RDBKPLOYRMCFIY-UHFFFAOYSA-N,CS(=O)(=O)C1=CC(Cl)=C(C=C1Cl)C1=C(Cl)C=C(C(Cl)=C1)S(C)(=O)=O
phenylalanylmethylchloride,,CNNSBPMDYXZFTQ-VIFPVBQESA-N,[H][C@](N)(CC1=CC=CC=C1)C(=O)CCl
pcnotaxime group,,NRYMPLKBKFIWQC-YVCCLBOHSA-N,[H][C@](C=O)(N=C(O)C(=N/OC)\C1=CSC(=N)N1)[C@@]1([H])SCC(=C)C(=N1)C(O)=O
"(2r)-3-(phosphonooxy)propane-1,2-diyl diheptanoate",,JAXUAGQDLYDLQB-OAHLLOKOSA-N,[H][C@@](COC(=O)CCCCCC)(COP(O)(O)=O)OC(=O)CCCCCC
n-[4-(4-nitrophenylphospho)butanoyl]-d-alanine,,KBXXIYHMPQZHCH-SECBINFHSA-N,[H][C@](C)(N=C(O)CCCP(O)(=O)OC1=CC=C(C=C1)N(=O)=O)C(O)=O
"4-[4-(2,5-dioxo-pyrrolidin-1-yl)-phenylamino]-4-hydroxy-butyric acid",,SUETUOGYOWOLNJ-NSHDSACASA-N,[H][C@](O)(CCC(O)=O)NC1=CC=C(C=C1)N1C(=O)CCC1=O
6-(4-chloro-2-fluoro-3-phenoxybenzyl)pyridazin-3(2h)-one,,NOVPOXGMADEKPP-UHFFFAOYSA-N,FC1=C(CC2=NNC(=O)C=C2)C=CC(Cl)=C1OC1=CC=CC=C1
gosogliptin,,QWEWGXUTRTXFRF-KBPBESRZSA-N,[H][C@]1(CN[C@@]([H])(C1)C(=O)N1CCC(F)(F)C1)N1CCN(CC1)C1=NC=CC=N1
"4,5-bis(4-methoxyphenyl)-2-thiophen-2-yl-1h-imidazole",,XBMULXNXJLWLLD-UHFFFAOYSA-N,COC1=CC=C(C=C1)C1=C(N=C(N1)C1=CC=CS1)C1=CC=C(OC)C=C1
2-({4-[4-(pyridin-4-ylmethyl)-1h-pyrazol-3-yl]phenoxy}methyl)quinoline,,RQDDHVVAAJVVKM-UHFFFAOYSA-N,C(OC1=CC=C(C=C1)C1=NNC=C1CC1=CC=NC=C1)C1=NC2=CC=CC=C2C=C1
4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid,,QUAGUFNCKDDJFZ-UHFFFAOYSA-N,OC(=O)N1CCC(CC2=CN=C3C=CC=CC3=C2)CC1
2-{[4-(4-pyridin-4-yl-1h-pyrazol-3-yl)phenoxy]methyl}quinoline,,VRWJZGHUCOFGPZ-UHFFFAOYSA-N,C(OC1=CC=C(C=C1)C1=NNC=C1C1=CC=NC=C1)C1=CC=C2C=CC=CC2=N1
2-{[4-(1-methyl-4-pyridin-4-yl-1h-pyrazol-3-yl)phenoxy]methyl}quinoline,,AZEXWHKOMMASPA-UHFFFAOYSA-N,CN1C=C(C(=N1)C1=CC=C(OCC2=NC3=CC=CC=C3C=C2)C=C1)C1=CC=NC=C1
"5-(2-ethoxyethyl)-5-[4-(4-fluorophenoxy)phenoxy]pyrimidine-2,4,6(1h,3h,5h)-trione",,XRSYNYGEEYTXJV-UHFFFAOYSA-N,CCOCCC1(OC2=CC=C(OC3=CC=C(F)C=C3)C=C2)C(=O)NC(=O)NC1=O
"6,7-dimethoxy-4-[(3r)-3-(2-naphthyloxy)pyrrolidin-1-yl]quinazoline",,UPTQSRGSSJRBKJ-LJQANCHMSA-N,[H][C@]1(CCN(C1)C1=NC=NC2=CC(OC)=C(OC)C=C12)OC1=CC2=CC=CC=C2C=C1
"(6s)-6-cyclopentyl-6-[2-(3-fluoro-4-isopropoxyphenyl)ethyl]-4-hydroxy-5,6-dihydro-2h-pyran-2-one",,AKNIHFDXRAOPAI-NRFANRHFSA-N,CC(C)OC1=CC=C(CC[C@]2(CC(O)=CC(=O)O2)C2CCCC2)C=C1F
"6,7-dimethoxy-4-[(3r)-3-(quinoxalin-2-yloxy)pyrrolidin-1-yl]quinazoline",,UBIIFKJMNRPNMT-CQSZACIVSA-N,[H][C@]1(CCN(C1)C1=NC=NC2=CC(OC)=C(OC)C=C12)OC1=NC2=CC=CC=C2N=C1
"2-[5,6-bis-(4-methoxy-phenyl)-furo[2,3-d]pyrimidin-4-ylamino]-ethanol",,ARBUGBBNEFAECO-UHFFFAOYSA-N,COC1=CC=C(C=C1)C1=C(C2=C(NCCO)N=CN=C2O1)C1=CC=C(OC)C=C1
"2-[(5,6-diphenylfuro[2,3-d]pyrimidin-4-yl)amino]ethanol",,UQHINZSKNAAVOZ-UHFFFAOYSA-N,OCCNC1=NC=NC2=C1C(=C(O2)C1=CC=CC=C1)C1=CC=CC=C1
para-nitrophenylphosphonobutanoyl-glycine,,WLNKGRQBMNPVSJ-UHFFFAOYSA-N,OC(=O)CNC(=O)CCC[P@](O)(=O)OC1=CC=C(C=C1)[N+]([O-])=O
2-(ethoxymethyl)-4-(4-fluorophenyl)-3-[2-(2-hydroxyphenoxy)pyrimidin-4-yl]isoxazol-5(2h)-one,,ZSOXFJURLPCSOO-UHFFFAOYSA-N,CCOCN1OC(=O)C(=C1C1=CC=NC(OC2=CC=CC=C2O)=N1)C1=CC=C(F)C=C1
"4-{[(z)-(5-oxo-2-phenyl-1,3-oxazol-4(5h)-ylidene)methyl]amino}butanoic acid",,PXGNVFUWTUIRCJ-UHFFFAOYSA-N,OC(=O)CCCNC=C1N=C(OC1=O)C1=CC=CC=C1
6-(difluoro-phosphono-methyl)-naphthalene-2-carboxylic acid,,NKGNOWNPXBURRW-UHFFFAOYSA-N,OC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(F)(F)P(O)(O)=O
"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine",,UQVKZNNCIHJZLS-UHFFFAOYSA-N,CN1C(N)=NC2=NC=C(C=C12)C1=CC=CC=C1
piceatannol,,CDRPUGZCRXZLFL-OWOJBTEDSA-N,OC1=CC(\C=C\C2=CC=C(O)C(O)=C2)=CC(O)=C1
4-(3-{[5-(trifluoromethyl)pyridin-2-yl]oxy}benzyl)piperidine-1-carboxylic acid,,KUEKMTNOUPAOBS-UHFFFAOYSA-N,OC(=O)N1CCC(CC2=CC(OC3=NC=C(C=C3)C(F)(F)F)=CC=C2)CC1
